Term,Definition,Category
"Lift vs Packaging","A Lift groups products together tagged with a lift tag number — individual components retain their identity in Stock Available, and the Lift tag is scanned during shipping Load Verification. A Package combines like items (from the same SO and line item) onto a single tag — individual tags are consumed to create the Packaging tag, which shows in Stock Available. Most commonly used with the slitting process and Production Weight Recording.","Logistics"
"Load Confirmation","Finalizing a shipment record in Invex — confirming the carrier, pickup date, and load details. Triggers BOL generation.","Logistics"
"Lot","A group of material processed together in the same production run under the same conditions. Lot traceability links finished goods back to their source coil and mill cert.","Order Mgmt"
"Make vs Stock","Decision of whether to produce material for a specific incoming order (make-to-order) or pull from existing finished goods inventory (stock). Affects lead time and inventory levels.","Order Mgmt"
"Margin","Profit remaining after subtracting cost of goods sold from revenue. Gross margin = revenue − COGS. A key measure of pricing effectiveness.","Order Mgmt"
"NC / Nonconformance","Material that does not meet specified requirements (grade, dimensions, surface quality, etc.). Must be dispositioned — returned to supplier, reworked, sold as secondary, or scrapped.","Order Mgmt"
"NCR (Non-Conformance Reporting)","The application for recording credit notes and customer returns. The vendor side is reserved for future implementation.","Order Mgmt"
"Non-Specific Toll","A processing-fee order where the customer owns the raw material and SWC performs an operation (slit, level, CTL, temper pass, blast, etc.) for a fee. Material is not traced to specific customer part numbers. No material purchase in Invex; invoice is for processing only.","Order Mgmt"
"Oil Spots","Bright, smooth, oval spots on the steel surface — result from oil accidentally dripped or splashed onto a roll or sheet and then leveled into the surface.","Defects & QC"
"Oiling","Application of a thin coat of oil to flat rolled steel to retard surface rusting. Provides short-term protection — not a fabrication lubricant. Common on CR and HRPO products.","Processing"
"OIR (Order Item Release)","Spans all of STRATIX — a combination of the Sales Order, the Line Item, and the Release. STRATIX supports multiple releases per sales order item (e.g., different due dates). When Production Planning, it is necessary to plan down to the release level.","Order Mgmt"
"On Hand vs Available","On Hand = total physical inventory at the plant. Available = on-hand minus material already reserved to existing orders. Only Available inventory can be committed to new orders.","Order Mgmt"
"OP (Outside Processing)","Processing of material at a non-company-owned facility. Also used to refer to an OP warehouse.","Processing"
"Orange Peel (Defect #0231)","A coarse surface texture resembling orange skin — becomes evident during drawing. Caused by excessively large grain size in the steel.","Defects & QC"
"Oscillation (Defect #0710)","Unintentional side-to-side shifting of a coil while being wound at the mill or during recoiling. Caused by poor coil shape, bad pickler tracking, or slitter misalignment — results in telescoped or offset coil wraps.","Defects & QC"
"Out-of-Square (Defect #0604)","The difference between two diagonal measurements of a rectangular sheet, or deviation from 90° at sheet corners. Material is out-of-square when opposite diagonal measurements differ.","Defects & QC"
"Over / Under Run","Producing more (over run) or less (under run) than the ordered quantity. Tolerance is typically stated on the PO or governed by standard industry practice.","Order Mgmt"
"P&O (Pickled and Oiled)","Hot rolled steel that has been pickled (scale removed) and oiled (surface protected). Cleaner surface than standard HR.","Steel & Grades"
"P.I.W. (Pounds per Inch of Width)","A factor used to calculate theoretical coil weights and sizes. Multiplying P.I.W. by coil width gives weight per lineal foot — useful for estimating coil length and yield.","Steel & Grades"
"PCA (Purchase Cost Adjustment)","Used to make financial adjustments to products where the original IRC needs an associated entry for reconciling. E.g., a PO is entered, material is received with an incorrect price, the bill comes in and does not match the IRC — a PCA adjusts the price and an adjusting IRC is created.","Order Mgmt"
"PCC (Product Cost Control)","An Enterprise Parameter that determines how material is costed after production is recorded, based on process and inventory type. E.g., Master Returns go back at the Cost of Consumption and Finished Goods get scrap prorated into the cost.","Order Mgmt"
"PEP (Product Enterprise Parameter)","Provides a business or product management-oriented view of STRATIX Product to track performance and manage the business.","Order Mgmt"
"Pickling","Removal of mill scale or surface oxide by immersing steel in a dilute acid solution (sulfuric or hydrochloric), then rinsing and drying. Often followed by oiling for long-term surface protection.","Processing"
"Pinchers (Defect #0211 / #0218)","Fern-like ripples or creases running diagonally to the rolling direction on flat rolled products.","Defects & QC"
"Pipe Lamination","Separation between the surfaces of flat rolled products caused by oxide inclusions originating from the pipe (hollow center) of the original ingot.","Defects & QC"
"Pits","Depressions in the surface of a sheet or strip. A common defect. Clearly visible when pickling off rust or rolled-in scale. Less likely on material stored indoors.","Defects & QC"
"PO (Purchase Order)","A formal order document. In SWC context: (1) a customer's PO to SWC for steel or processing services, or (2) SWC's PO to a mill or supplier for raw material. The PO number is a key reference on all related documents.","Order Mgmt"
"PPS (Purchased Product Specification)","Defines the raw material specs (coil specs) purchased from the mill — including grade, dimensions, chemistry, and surface requirements.","Order Mgmt"
"PPS (Purchasing Part Specification)","Speeds up the Purchase Order entry process for often-repeated product purchases and minimizes user errors.","Order Mgmt"
"Pre-Receipt","An expected inbound material record created in Invex before the coil physically arrives. Allows production planning to schedule work in advance of delivery.","Logistics"
"Process Class","Assigned when setting up the Process EP in STRATIX. Each Process Class has programming that allows the consumption of one product to produce another. Examples include Assembly, Burning, Cut to Length, Inspection, Slitting, and Sawing. There are 26 Process Classes in STRATIX in total.","Processing"
"Process Route","A series of processes entered on a Sales Order required to produce a finished good. The Process Route is pulled into a Job Set for production.","Processing"
"Product Access Method","Used in STRATIXview to provide options for searching for material. Default is by Form, Grade, Size, Finish, and Dimension. With Free Form, these fields are entered with a space after each, then the dimension. Product Access codes are defined from the Product Enterprise Parameter and used as shortcuts to search for inventory.","Order Mgmt"
"Production Order","The system order used to authorize and execute a manufacturing operation (slitting, leveling, CTL, etc.) against a sales order. Ties the job to the coil, work center, and routing.","Order Mgmt"
"PRS (Process)","Defines what must be done to material to make it a finished good. E.g., Sawing, Slitting, Cut to Length.","Processing"
"PWC (Process Work Center)","The actual machines used to perform a process.","Processing"
"PWG (Process Work Group)","A machine or group of machines with like processing capabilities.","Processing"
"QA (Quality Assurance)","The broader process and systems used to ensure products consistently meet specified standards — includes procedures, audits, and documentation. Preventive in nature.","Order Mgmt"
"QC (Quality Control)","Inspection and testing of material to verify it meets spec — measurement of actual dimensions, surface inspection, mechanical testing. Detective in nature.","Order Mgmt"
"QDS (Quality Data Standard)","A group of properties made up of actual Chemical, Physical, and Mechanical properties related to either a Mill-Heat or one or more Product Items.","Steel & Grades"
"Quote","A pricing offer made to a customer for a specific quantity of material or processing service. Not a binding order until a PO is received and a Sales Order is entered in Invex.","Order Mgmt"
"Ragged Edges (Defect #0221 / #0224 / #0225)","Edges that are torn, split, cracked, or otherwise disfigured. Can be caused by chemistry/heating practice, poor slitting, or annealing damage. Also known as cracked edges, saw-tooth edges, or torn edges.","Defects & QC"
"Reduction","Reducing the thickness of a sheet or strip by hot or cold rolling. Each pass reduces thickness by a percentage — multiple passes may be required to reach the target gauge.","Processing"
"Reel Breaks (Defect #0234)","Transverse breaks or ridges on successive inner laps of a coil. Result from crimping the lead end into a segmented gripping mandrel or from excessive coiling tension.","Defects & QC"
"Release (Contract Release)","A specific delivery demand pulled against an existing blanket or contract order. Each release specifies quantity, size, and required ship date against the pre-established contract terms.","Order Mgmt"
"Release to Planning","Making an order available to production planning in Invex — signals the order is confirmed and ready to be scheduled on a machine.","Order Mgmt"
"Requisition","An internal request to purchase material — submitted by operations or sales to Purchasing to initiate a buy from a mill or supplier.","Order Mgmt"
"Reservation","Assigning specific material (by tag number or heat) to an open sales order. Once reserved, that material is not available for other orders.","Order Mgmt"
"Reserved Inventory","Material assigned to a specific sales order. Appears in On-Hand inventory count but is not Available for other orders.","Order Mgmt"
"RM (Raw Material)","Unprocessed material — typically coils as received from the mill — before any slitting, leveling, CTL, or other processing.","Order Mgmt"
"Rockwell Hardness Test","A hardness test where a diamond cone or hardened steel ball is forced into a sample under a standard load. Depth of penetration indicates hardness. The Rockwell B scale is most commonly used for hot rolled steel at SWC.","Steel & Grades"
"Roll Bruise","A repetitive roll mark appearing as a raised spot thicker than the surrounding sheet. Usually caused by a shear burr, scrap, or foreign object indenting a work roll.","Defects & QC"
"Roll Mark (Defect #0210 / #0217)","A repetitive indentation pattern on steel caused by a foreign substance attached to a work roll. Once the substance is removed, residual roll damage can cause Roll Bruising on subsequent material.","Defects & QC"
"Rolled-In Scale (Defect #0203)","Dark streaks in the rolling direction caused by surface scale (oxide) being rolled into the steel. Can be caused by a leveler or temper mill when excessive scale exists.","Defects & QC"
"RONA (Return on Net Assets)","Return on Net Assets — a profitability metric measuring how efficiently the company generates profit from its assets. EBIT divided by net assets.","Order Mgmt"
"Routing","The defined sequence of production steps (operations and work centers) required to process a specific order from raw material through finished goods.","Order Mgmt"
"Sales Category","A code assigned to a sales order item indicating the type of sale: As Is, Processed, Buyout, Direct Shipment, Scrap, Toll, or Consignment.","Order Mgmt"
"SDO (Standard Development Organization)","Organizations that set published industry standards for Chemistries and Mechanical properties based on the material.","Steel & Grades"
"Scab (Defect #0103)","An elongated patch of loosened metal rolled into the steel surface. Caused by steel splashing from the casting stool at the start of a pour and sticking to the mold walls.","Defects & QC"
"Scale","The iron oxide layer forming on steel's surface when heated (e.g., during hot rolling). Must be removed by pickling or shot blasting for many applications. Rolled-in scale is a common surface defect.","Defects & QC"
"Scrap","Material lost or removed during processing — trim ends, defective portions, or unusable remnants. For toll orders, scrap belongs to the customer since they own the material.","Processing"
"Seam (Defect #0102)","An un-welded fold on the steel surface appearing as a crack. Closed seams are light-colored; open seams are dark (oxidized). Usually results from a defect in casting or rolling.","Defects & QC"
"Shot Blasting","Abrasive surface treatment where steel shot (small metallic particles) is propelled at high velocity against the workpiece to clean, de-scale, or texture the surface. Used by SWC on John Deere bars as a processing service — different from coil toll (slit/level/CTL) since the process is surface treatment, not dimensional cutting.","Processing"
"SIC (Standard Industrial Classification)","A recognized coding system designed by the U.S. government to identify the type of business performed by a company.","Order Mgmt"
"Skin Lamination","A defect parallel to the sheet surface appearing as a surface rupture — caused by inclusions separating the surface layer during rolling. Also known as slivers.","Defects & QC"
"Slab","A semi-finished steel block with an oblong cross section (width at least twice the thickness). The mill hot- or cold-reduces slabs to the required gauge and ships them as master coils.","Steel & Grades"
"Slitting","Process of cutting coil products to a specified width (or removing edges) using rotary knives. Produces multiple narrower coils (slit mults) from a single master coil.","Processing"
"SO (Sales Order)","A confirmed customer order entered into Invex. The SO drives production, inventory reservation, shipping, and invoicing. Created upon receipt of a customer PO.","Order Mgmt"
"Specific Toll","A toll processing order where finished pieces are traced to specific customer part numbers (e.g., Valmont RP0xxxx). Customer owns the material; SWC invoices processing fee only. Differs from non-specific toll: material is traced by customer part number, finished pieces are labeled with customer part numbers, and export documentation may be required.","Order Mgmt"
"Specs","The Spec window is used in purchasing and sales to define the tolerances acceptable for width, length, and thickness, as well as maximum weight per piece and skid. Chemical and physical tolerances may also be defined in addition to Metal Standards. For sales, Execution Options may be defined to assure the applied material meets Metal Standards before it is available for shipment.","Order Mgmt"
"Spot Sale","A one-time, non-contract sale — no blanket order or long-term pricing agreement. Each spot sale is transacted independently at current market pricing.","Order Mgmt"
"Standard Process Route","An Enterprise Parameter that allows a string of processes to be defined that will yield a finished good. Input when a sales order is entered, eliminating the need to manually enter each process.","Processing"
"Supplier / Mill","The source of raw material — typically a steel mill (e.g., SSAB, Nucor, ArcelorMittal) or a distributor. Mill POs are entered in Invex Purchasing.","Logistics"
"Tag / Tag Number","A unique identifier assigned to a specific piece or coil of material in inventory. Used for traceability — links the physical material to its mill cert, PO, and customer order.","Order Mgmt"
"Tag Reservation","Assigning specific material tags (by tag number) to a sales order — ensuring that exact coil or piece is held for that order and not used elsewhere.","Order Mgmt"
"Temper Pass","A light cold-rolling pass applied to steel under high pressure to compress, flatten, elongate, and improve the shape (flatness) and surface finish of the steel. One of the primary processing services at SWC.","Processing"
"Tensile Strength","The maximum stress a material can withstand before it begins to visibly fracture — measured in KSI. The point at which the metal cross section will no longer stretch when pulled.","Steel & Grades"
"Test Report / Mill Cert","Mill-provided certification confirming that a specific heat of steel meets the required chemical composition and mechanical properties. Required by most customers — must match the heat number on the material.","Order Mgmt"
"Theoretical Weight","Weight calculated from steel dimensions and standard density formulas rather than by scale. Used when actual weight is not measured — common for plate and bar invoicing. Formula: thickness (in) × width (in) × length (in) × density factor.","Steel & Grades"
"Tolerance","The specified limits of acceptable deviation from a nominal dimension. For example, a thickness tolerance of ±0.005"" means the material can be 0.005"" above or below the target and still be in-spec.","Order Mgmt"
"TOP (Terms of Payment)","Used on Sales Orders and Purchase Orders — made up of the Payment Terms and Discount Terms.","Order Mgmt"
"TOT (Terms of Trade)","Enterprise Parameter indicating the party responsible for paying Freight on an order, purchase, shipment, or invoice transaction.","Logistics"
"Transport Creation","Creating a shipment record in Invex — assigns carrier, pickup date, and groups the sales orders being shipped together. Precedes load confirmation and BOL generation.","Logistics"
"Transport / Load","The shipment grouping in Invex that combines one or more sales orders onto a single truck or pickup. The transport record drives BOL creation and tracks outbound shipment status.","Logistics"
"USMCA (Certificate of Origin)","United States-Mexico-Canada Agreement — replaced NAFTA in 2020. A USMCA Certificate of Origin is required for exports of qualifying goods to Mexico or Canada to receive preferential tariff treatment. Required on all Valmont Industries shipments to their Apodaca, Mexico plant.","Logistics"
"Voyage","Associated with an overseas shipment. In STRATIX, it can be used in the Material Transfers application and the Receiving application to associate shipping expenses when vouchering.","Logistics"
"Wavy Edges (Defect #0702)","A condition where the edges of the steel strip are longer than the center, causing the edges to appear wavy or buckled. Caused by worn work rolls, damaged edges, or poor temper mill / leveler operation.","Defects & QC"
"Whiskers","Thin, shiny, hair-like pieces of steel on the edge of slit material. Caused by over-arm separators positioned too close together during slitting.","Defects & QC"
"WIP (Work in Process)","Material currently being processed on the production floor — no longer raw material but not yet finished goods. In Invex, WIP tracks material through each routing step.","Order Mgmt"
"WKO (Job Work Order)","An internal operations document containing the detailed picking and processing instructions and specifications required for a Job. Each document contains information for one Job.","Processing"
"Work Center","A specific machine or production line in the plant (e.g., slitter, leveler, CTL line, temper mill, shot blast machine). Work centers are assigned capacity and routing steps in Invex.","Order Mgmt"
"Yield (Output)","The ratio of output material to input material in a processing operation — expressed as a percentage. Yield losses include trim scrap, defects, and rejects.","Order Mgmt"
